sensor_id,time,temperature,pressure,humidity,gas_resistance,smell
3,1626756,31.790064,9.127913,36.642143,128096.070312,air
4,1626811,32.237263,9.12995,35.498058,104170.90625,air
5,1626866,31.914667,9.129042,36.06781,90941.382812,air
6,1626921,31.676853,9.126203,36.220722,80477.835938,air
7,1626976,31.516445,9.127066,36.215725,113074.203125,air
0,1629591,31.472082,9.126185,37.372185,120244.25,air
1,1629647,31.491779,9.125575,37.566536,98234.84375,air
2,1629701,31.63541,9.127883,36.937225,103917.1875,air
3,1629756,31.790064,9.127877,36.65377,127904.070312,air
4,1629811,32.239784,9.130004,35.509953,104234.53125,air
5,1629866,31.909616,9.128921,36.114281,91135.632812,air
6,1629921,31.707052,9.126231,36.223866,80706.179688,air
7,1629976,31.519001,9.127246,36.245228,113828.367188,air
0,1632591,31.487156,9.126231,37.367931,120413.921875,air
1,1632646,31.484142,9.125548,37.553955,97896.75,air
2,1632701,31.632877,9.128119,36.948704,103350.828125,air
3,1632756,31.790064,9.127788,36.63052,128000.0,air
4,1632811,32.247353,9.130277,35.528175,104875.054688,air
5,1632867,31.904566,9.129174,36.1255,90844.570312,air
6,1632921,31.7297,9.126289,36.226223,80706.179688,air
7,1632976,31.524105,9.127321,36.251595,113525.5,air
0,1635591,31.48967,9.126532,37.362343,119570.296875,air
1,1635646,31.494328,9.125702,37.566811,97952.9375,air
2,1635701,31.637943,9.12821,36.919872,103980.5,air
3,1635756,31.79512,9.128093,36.631054,128000.0,air
4,1635812,32.247353,9.130439,35.516541,104425.859375,air
5,1635866,31.917194,9.129355,36.126816,91135.632812,air
6,1635921,31.76745,9.126604,36.218479,80629.921875,air
7,1635976,31.562399,9.12752,36.255592,113904.335938,air
0,1638591,31.484644,9.126493,37.344231,120329.023438,air
1,1638647,31.499416,9.125778,37.555588,98518.375,air
2,1638701,31.640476,9.128228,36.908394,103727.710938,air
3,1638756,31.797649,9.128184,36.61969,128192.289062,air
4,1638811,32.252392,9.130315,35.52869,104489.796875,air
5,1638866,31.919718,9.129146,36.127079,91233.070312,air
6,1638921,31.797649,9.126477,36.174934,80935.820312,air
7,1638976,31.582825,9.127433,36.251865,114056.585938,air
0,1641591,31.48967,9.126479,37.356483,120498.9375,air
1,1641646,31.504511,9.12568,37.544361,98918.085938,air
2,1641701,31.648075,9.128047,36.897453,103853.953125,air
3,1641756,31.805237,9.1281,36.614681,128578.601562,air
4,1641811,32.254917,9.130046,35.49987,105458.289062,air
5,1641866,31.909616,9.128976,36.114281,91330.71875,air
6,1641921,31.7901,9.126471,36.127472,80859.125,air
7,1641976,31.570059,9.127454,36.209606,113904.335938,air
0,1644591,31.482132,9.126194,37.349815,120669.335938,air
1,1644646,31.504511,9.125573,37.538479,98918.085938,air
2,1644701,31.658203,9.128137,36.892651,104234.53125,air
3,1644756,31.812824,9.128086,36.580608,128288.648438,air
4,1644811,32.282654,9.130004,35.496902,104939.539062,air
5,1644866,31.922245,9.12901,36.086224,91723.398438,air
6,1644921,31.815268,9.126441,36.089256,80782.578125,air
7,1644976,31.582825,9.127343,36.193398,114056.585938,air
0,1647591,31.48967,9.126426,37.338905,120413.921875,air
1,1647646,31.499416,9.125655,37.526176,98803.546875,air
2,1647701,31.655674,9.128028,36.880642,104425.859375,air
3,1647756,31.810293,9.127764,36.562912,128481.804688,air
4,1647811,32.275089,9.129697,35.478683,105068.75,air
5,1647866,31.929821,9.128939,36.081131,91624.914062,air
6,1647921,31.832886,9.12644,36.061924,81321.476562,air
7,1647977,31.590485,9.12728,36.159122,114592.65625,air
0,1650591,31.46957,9.126184,37.30748,121011.578125,air
1,1650646,31.481598,9.125615,37.518387,98918.085938,air
2,1650701,31.653141,9.128045,36.862755,104362.007812,air
3,1650757,31.810293,9.127818,36.568722,128481.804688,air
4,1650811,32.272568,9.129641,35.45517,104746.320312,air
5,1650867,31.932348,9.128935,36.081398,91428.570312,air
6,1650921,31.842951,9.126327,36.039642,80706.179688,air
7,1650976,31.605801,9.127225,36.166557,114285.710938,air
0,1653591,31.474594,9.126275,37.313869,120669.335938,air
1,1653647,31.484142,9.125565,37.512779,98575.28125,air
2,1653701,31.658203,9.128028,36.851551,104875.054688,air
3,1653757,31.807766,9.127567,36.562645,128578.601562,air
4,1653811,32.285179,9.129718,35.450653,105133.46875,air
5,1653866,31.94245,9.12886,36.082447,91822.09375,air
6,1653921,31.855536,9.126373,36.005962,81012.65625,air
7,1653976,31.621119,9.127113,36.144775,113980.40625,air
0,1656591,31.472082,9.125904,37.319466,121183.429688,air
1,1656647,31.496872,9.125388,37.531784,98860.78125,air
2,1656702,31.650608,9.128011,36.844883,104553.804688,air
3,1656756,31.815353,9.127821,36.551826,128288.648438,air
4,1656811,32.300308,9.129671,35.41151,105328.125,air
5,1656866,31.944977,9.128798,36.053341,91526.632812,air
6,1656921,31.832886,9.126334,35.974472,81089.640625,air
7,1656976,31.600697,9.127236,36.095909,114209.234375,air
0,1659591,31.487156,9.126231,37.291782,121011.578125,air
1,1659646,31.496872,9.125511,37.508255,98918.085938,air
2,1659701,31.655674,9.128191,36.827808,104875.054688,air
3,1659756,31.812824,9.127873,36.53413,128578.601562,air
4,1659811,32.257439,9.130048,35.383865,104875.054688,air
5,1659866,31.92477,9.12908,36.016018,91624.914062,air
6,1659921,31.7297,9.126272,35.975433,81012.65625,air
7,1659976,31.549637,9.127436,36.090611,114592.65625,air
0,1662591,31.484644,9.126299,37.297371,120584.078125,air
1,1662646,31.512146,9.12576,37.474602,99032.882812,air
2,1662701,31.645542,9.128082,36.832603,104682.070312,air
3,1662757,31.797649,9.128058,36.503498,128288.648438,air
4,1662811,32.222134,9.130247,35.403496,105263.15625,air
5,1662866,31.891933,9.128877,36.006733,91624.914062,air
6,1662921,31.656717,9.126499,35.997021,80553.804688,air
7,1662976,31.501129,9.127211,36.114788,113828.367188,air
0,1665591,31.472082,9.126395,37.29018,120498.9375,air
1,1665646,31.445953,9.125726,37.47929,98975.453125,air
2,1665701,31.63541,9.128156,36.813927,104362.007812,air
3,1665756,31.752131,9.128067,36.521961,129064.78125,air
4,1665811,32.169178,9.130331,35.415493,105458.289062,air
5,1665866,31.881832,9.129215,36.035038,91822.09375,air
6,1665921,31.603867,9.126343,36.090633,81789.140625,air
